CVE-2024-1597,pgdjbc Postgresql-jre7,42.7.0-42.7.1,https://github.com/pgjdbc/pgjdbc/commit/06abfb78a627277a580d4df825f210e96a4e14ee
CVE-2024-1597,pgdjbc Postgresql-jre7,42.6.0-42.6.0,https://github.com/pgjdbc/pgjdbc/commit/d368b1cc5fbfc9750151f87d78e12db97e13af0e
CVE-2024-1597,pgdjbc Postgresql-jre7,42.5.0-42.5.4,https://github.com/pgjdbc/pgjdbc/commit/475e3e2af3033c666fc1c0015159b35455118ae5
CVE-2024-1597,pgdjbc Postgresql-jre7,42.4.0-42.4.3,https://github.com/pgjdbc/pgjdbc/commit/fe002b31f2c7dcf7e2fe75fe7fd18df4e4503abf
CVE-2024-1597,pgdjbc Postgresql-jre7,42.3.0-42.3.8,https://github.com/pgjdbc/pgjdbc/commit/d93c74127f5aebda2baa8fcefed4f0b4dfe81d95
CVE-2024-1597,pgdjbc Postgresql-jre7,9.2-1002-jdbc4-42.2.27,https://github.com/pgjdbc/pgjdbc/commit/990d63f6be401ab40de5eb303a75924c9e71903c
CVE-2024-1735,Armeria (armeria-saml),0.69.0-1.27.1,https://github.com/line/armeria/commit/b2aa9f49b46a7b0e03d8b8d753809cd1e8e2016c
CVE-2024-23328,dataease-plugin-datasource,1.10.0-1.18.14,https://github.com/dataease/dataease/commit/bb540e6dc83df106ac3253f331066129a7487d1a
CVE-2024-1735,Central Dogma (centraldogma-server-auth-saml),0.33.0-0.64.2,https://github.com/line/centraldogma/commit/16903426be2e954c050b3ee47b8c38ee3218f0eb
CVE-2023-49109,dolphinscheduler,3.0.0-alpha-3.2.0,https://github.com/apache/dolphinscheduler/commit/8c01fcf14b199e2c1ba86c17351e1ea30614f484
CVE-2024-23672,tomcat-embed-websocket,8.5.0-8.5.98,https://github.com/apache/tomcat/commit/3631adb1342d8bbd8598802a12b63ad02c37d591
CVE-2024-23672,tomcat-embed-websocket,9.0.0.M1-9.0.85,https://github.com/apache/tomcat/commit/52d6650e062d880704898d7d8c1b2b7a3efe8068
CVE-2024-23672,tomcat-embed-websocket,10.0.0-M1-10.1.18,https://github.com/apache/tomcat/commit/0052b374684b613b0c849899b325ebe334ac6501
CVE-2024-23672,tomcat-embed-websocket,11.0.0-M1-11.0.0-M16,https://github.com/apache/tomcat/commit/b0e3b1bd78de270d53e319d7cb79eb282aa53cb9
CVE-2024-23672,tomcat-websocket,11.0.0-M1-11.0.0-M16,https://github.com/apache/tomcat/commit/b0e3b1bd78de270d53e319d7cb79eb282aa53cb9
CVE-2024-23672,tomcat-websocket,10.0.0-M1-10.1.18,https://github.com/apache/tomcat/commit/0052b374684b613b0c849899b325ebe334ac6501
CVE-2024-23672,tomcat-websocket,9.0.0.M1-9.0.85,https://github.com/apache/tomcat/commit/52d6650e062d880704898d7d8c1b2b7a3efe8068
CVE-2024-23672,tomcat-websocket,8.5.0-8.5.98,https://github.com/apache/tomcat/commit/3631adb1342d8bbd8598802a12b63ad02c37d591
